Precinct,Candidate_R,Percentage_R,Raw_Vote_R,Candidate_D,Percentage_D,Raw_Vote_D,Total_Vote,Voter_Turnout
Gillespie 6,Davis,45.64%,110,Dirksen-Londrigan,54.36%,131,241,49.22%
Girard 1,Davis,65.99%,163,Dirksen-Londrigan,34.01%,84,247,51.32%
Girard 2,Davis,57.76%,309,Dirksen-Londrigan,42.24%,226,535,56.24%
Hillyard,Davis,56.18%,141,Dirksen-Londrigan,43.82%,110,251,53.59%
Honey Point,Davis,67.47%,56,Dirksen-Londrigan,32.53%,27,83,65.63%
Mt. Olive 1,Davis,50.50%,102,Dirksen-Londrigan,49.50%,100,202,60.06%
Mt. Olive 2,Davis,42.79%,92,Dirksen-Londrigan,57.21%,123,215,57.70%
Mt. Olive 3,Davis,62.61%,144,Dirksen-Londrigan,37.39%,86,230,62.01%
Mt. Olive 4,Davis,50.68%,112,Dirksen-Londrigan,49.32%,109,221,60.80%
Mt. Olive 5,Davis,50.66%,116,Dirksen-Londrigan,49.34%,113,229,49.79%
Mt. Olive 6,Davis,57.02%,134,Dirksen-Londrigan,42.98%,101,235,60.10%
Nilwood 1,Davis,67.63%,94,Dirksen-Londrigan,32.37%,45,139,60.43%
Nilwood 2,Davis,78.57%,88,Dirksen-Londrigan,21.43%,24,112,62.37%
North Otter,Davis,68.88%,290,Dirksen-Londrigan,31.12%,131,421,69.08%
North Palmyra,Davis,70.14%,242,Dirksen-Londrigan,29.86%,103,345,61.18%
Polk,Davis,70.55%,206,Dirksen-Londrigan,29.45%,86,292,62.05%
Scottville,Davis,81.12%,116,Dirksen-Londrigan,18.88%,27,143,65.33%
Shaws Point,Davis,67.05%,175,Dirksen-Londrigan,32.95%,86,261,67.34%
Shipman 1,Davis,62.39%,204,Dirksen-Londrigan,37.61%,123,327,59.58%
Shipman 2,Davis,76.23%,93,Dirksen-Londrigan,23.77%,29,122,68.13%
Shipman 3,Davis,75.21%,88,Dirksen-Londrigan,24.79%,29,117,62.50%
South Otter,Davis,76.89%,163,Dirksen-Londrigan,23.11%,49,212,62.50%
South Palmyra,Davis,75.45%,209,Dirksen-Londrigan,24.55%,68,277,56.08%
Staunton 1,Davis,57.69%,165,Dirksen-Londrigan,42.31%,121,286,55.92%
Staunton 2,Davis,56.97%,229,Dirksen-Londrigan,43.03%,173,402,50.49%
Staunton 3,Davis,50.89%,286,Dirksen-Londrigan,49.11%,276,562,58.63%
Staunton 4,Davis,54.41%,259,Dirksen-Londrigan,45.59%,217,476,58.23%
Staunton 5,Davis,58.11%,215,Dirksen-Londrigan,41.89%,155,370,55.83%
Virden 1,Davis,68.07%,194,Dirksen-Londrigan,31.93%,91,285,55.35%
Virden 2,Davis,61.69%,182,Dirksen-Londrigan,38.31%,113,295,47.02%
Virden 3,Davis,63.64%,231,Dirksen-Londrigan,36.36%,132,363,57.87%
Virden 4,Davis,61.09%,135,Dirksen-Londrigan,38.91%,86,221,55.37%
Western Mound,Davis,74.36%,87,Dirksen-Londrigan,25.64%,30,117,65.76%
