Precinct,Candidate_R,Percentage_R,Raw_Vote_R,Candidate_D,Percentage_D,Raw_Vote_D,Total_Vote,Voter_Turnout
Foster 02,Davis,61.88%,112,Dirksen-Londrigan,38.12%,69,181,61.56%
Foster 03,Davis,58.76%,228,Dirksen-Londrigan,41.24%,160,388,61.74%
Foster 04,Davis,66.40%,251,Dirksen-Londrigan,33.60%,127,378,67.79%
Foster 05,Davis,65.05%,242,Dirksen-Londrigan,34.95%,130,372,66.73%
Godfrey 01,Davis,53.77%,264,Dirksen-Londrigan,46.23%,227,491,53.57%
Godfrey 02,Davis,56.49%,174,Dirksen-Londrigan,43.51%,134,308,53.82%
Godfrey 03,Davis,62.50%,275,Dirksen-Londrigan,37.50%,165,440,66.12%
Godfrey 04,Davis,64.50%,338,Dirksen-Londrigan,35.50%,186,524,68.95%
Godfrey 05,Davis,63.24%,394,Dirksen-Londrigan,36.76%,229,623,71.01%
Godfrey 06,Davis,56.63%,397,Dirksen-Londrigan,43.37%,304,701,60.80%
Godfrey 07,Davis,58.05%,364,Dirksen-Londrigan,41.95%,263,627,66.98%
Godfrey 08,Davis,57.06%,190,Dirksen-Londrigan,42.94%,143,333,59.89%
Godfrey 09,Davis,63.81%,432,Dirksen-Londrigan,36.19%,245,677,61.39%
Godfrey 10,Davis,58.24%,403,Dirksen-Londrigan,41.76%,289,692,62.59%
Godfrey 11,Davis,64.83%,282,Dirksen-Londrigan,35.17%,153,435,64.42%
Godfrey 12,Davis,48.44%,155,Dirksen-Londrigan,51.56%,165,320,42.88%
Godfrey 13,Davis,63.49%,447,Dirksen-Londrigan,36.51%,257,704,65.21%
Godfrey 14,Davis,63.70%,451,Dirksen-Londrigan,36.30%,257,708,68.88%
Godfrey 15,Davis,61.57%,338,Dirksen-Londrigan,38.43%,211,549,67.98%
