County,Precinct,Candidate_R,Percentage_R,Raw_Vote_R,Candidate_D,Percentage_D,Raw_Vote_D,Total,Voter_Turnout
Champaign County,City of Champaign 16,Davis,37.39%,178,Dirksen-Londrigan,62.61%,298,476,70.19%
Champaign County,City of Champaign 17,Davis,33.95%,406,Dirksen-Londrigan,66.05%,790,1196,52.55%
Champaign County,City of Champaign 18,Davis,32.82%,254,Dirksen-Londrigan,67.18%,520,774,57.02%
Champaign County,City of Champaign 19,Davis,24.41%,156,Dirksen-Londrigan,75.59%,483,639,69.82%
Champaign County,City of Champaign 20,Davis,26.13%,196,Dirksen-Londrigan,73.87%,554,750,77.49%
Champaign County,City of Champaign 21,Davis,30.85%,153,Dirksen-Londrigan,69.15%,343,496,84.15%
Champaign County,City of Champaign 22,Davis,39.46%,118,Dirksen-Londrigan,60.54%,181,299,76.56%
Champaign County,City of Champaign 23,Davis,39.30%,145,Dirksen-Londrigan,60.70%,224,369,73.88%
Champaign County,City of Champaign 24,Davis,39.44%,491,Dirksen-Londrigan,60.56%,754,1245,76.97%
Champaign County,City of Champaign 25,Davis,31.16%,148,Dirksen-Londrigan,68.84%,327,475,66.35%
Champaign County,City of Champaign 26,Davis,33.90%,238,Dirksen-Londrigan,66.10%,464,702,65.18%
Champaign County,City of Champaign 27,Davis,35.47%,155,Dirksen-Londrigan,64.53%,282,437,73.75%
Champaign County,City of Champaign 28,Davis,30.12%,97,Dirksen-Londrigan,69.88%,225,322,70.72%
Champaign County,City of Champaign 29,Davis,39.81%,172,Dirksen-Londrigan,60.19%,260,432,62.68%
Champaign County,City of Champaign 30,Davis,20.62%,107,Dirksen-Londrigan,79.38%,412,519,45.42%
Champaign County,City of Champaign 31,Davis,29.31%,148,Dirksen-Londrigan,70.69%,357,505,57.03%
Champaign County,City of Champaign 32,Davis,38.69%,320,Dirksen-Londrigan,61.31%,507,827,75.59%
Champaign County,City of Champaign 33,Davis,39.25%,396,Dirksen-Londrigan,60.75%,613,1009,72.55%
Champaign County,City of Champaign 34,Davis,36.91%,640,Dirksen-Londrigan,63.09%,1094,1734,62.25%
Champaign County,City of Champaign 35,Davis,30.78%,265,Dirksen-Londrigan,69.22%,596,861,59.69%
Champaign County,City of Champaign 36,Davis,38.66%,276,Dirksen-Londrigan,61.34%,438,714,66.82%
Champaign County,City of Champaign 37,Davis,35.68%,461,Dirksen-Londrigan,64.32%,831,1292,59.96%
Champaign County,City of Champaign 38,Davis,37.68%,454,Dirksen-Londrigan,62.32%,751,1205,75.12%
Champaign County,City of Champaign 39,Davis,34.17%,271,Dirksen-Londrigan,65.83%,522,793,61.04%
Champaign County,Colfax,Davis,66.67%,84,Dirksen-Londrigan,33.33%,42,126,73.41%
Champaign County,Cunningham 1,Davis,5.89%,36,Dirksen-Londrigan,94.11%,575,611,48.33%
Champaign County,Cunningham 2,Davis,11.76%,42,Dirksen-Londrigan,88.24%,315,357,67.45%
Champaign County,Cunningham 3,Davis,9.30%,37,Dirksen-Londrigan,90.70%,361,398,76.50%
Champaign County,Cunningham 4,Davis,7.41%,50,Dirksen-Londrigan,92.59%,625,675,84.84%
Champaign County,Cunningham 5,Davis,11.11%,88,Dirksen-Londrigan,88.89%,704,792,73.56%
Champaign County,Cunningham 6,Davis,11.88%,57,Dirksen-Londrigan,88.13%,423,480,52.13%
Champaign County,Cunningham 7,Davis,10.91%,53,Dirksen-Londrigan,89.09%,433,486,58.92%
Champaign County,Cunningham 8,Davis,6.62%,52,Dirksen-Londrigan,93.38%,733,785,67.17%
Champaign County,Cunningham 9,Davis,15.01%,130,Dirksen-Londrigan,84.99%,736,866,79.80%
Champaign County,Cunningham 10,Davis,7.31%,38,Dirksen-Londrigan,92.69%,482,520,82.20%
Champaign County,Cunningham 11,Davis,12.50%,45,Dirksen-Londrigan,87.50%,315,360,75.51%
Champaign County,Cunningham 12,Davis,11.47%,100,Dirksen-Londrigan,88.53%,772,872,65.21%
Champaign County,Cunningham 13,Davis,19.02%,101,Dirksen-Londrigan,80.98%,430,531,66.13%
Champaign County,Cunningham 14,Davis,22.41%,158,Dirksen-Londrigan,77.59%,547,705,81.69%
Champaign County,Cunningham 15,Davis,24.80%,124,Dirksen-Londrigan,75.20%,376,500,78.26%
Champaign County,Cunningham 16,Davis,21.80%,114,Dirksen-Londrigan,78.20%,409,523,66.75%
Champaign County,Cunningham 17,Davis,37.67%,255,Dirksen-Londrigan,62.33%,422,677,52.45%
Champaign County,Cunningham 18,Davis,33.95%,219,Dirksen-Londrigan,66.05%,426,645,65.69%
Champaign County,Cunningham 19,Davis,24.07%,245,Dirksen-Londrigan,75.93%,773,1018,52.58%
Champaign County,Cunningham 20,Davis,34.32%,163,Dirksen-Londrigan,65.68%,312,475,60.76%
Champaign County,Cunningham 21,Davis,20.70%,107,Dirksen-Londrigan,79.30%,410,517,54.43%
Champaign County,Cunningham 22,Davis,22.90%,155,Dirksen-Londrigan,77.10%,522,677,62.04%
Champaign County,Cunningham 23,Davis,34.46%,408,Dirksen-Londrigan,65.54%,776,1184,72.23%
Champaign County,Hensley,Davis,25.00%,27,Dirksen-Londrigan,75.00%,81,108,63.80%
Champaign County,Philo,Davis,66.18%,632,Dirksen-Londrigan,33.82%,323,955,72.38%
Champaign County,Sadorus Sadorus,Davis,63.33%,152,Dirksen-Londrigan,36.67%,88,240,65.33%
Champaign County,Sadorus Ivesdale,Davis,56.67%,85,Dirksen-Londrigan,43.33%,65,150,64.02%
Champaign County,Scott Bondville,Davis,60.94%,156,Dirksen-Londrigan,39.06%,100,256,67.36%
Champaign County,Scott Seymour,Davis,76.11%,137,Dirksen-Londrigan,23.89%,43,180,61.74%
Champaign County,Somer,Davis,66.67%,56,Dirksen-Londrigan,33.33%,28,84,63.61%
Champaign County,Tolono 1,Davis,62.24%,506,Dirksen-Londrigan,37.76%,307,813,66.30%
Champaign County,Tolono 2,Davis,44.60%,413,Dirksen-Londrigan,55.40%,513,926,67.07%
Champaign County,Tolono 3,Davis,67.43%,472,Dirksen-Londrigan,32.57%,228,700,67.24%
Champaign County,Urbana 1,Davis,39.13%,117,Dirksen-Londrigan,60.87%,182,299,80.05%
Champaign County,Urbana 2,Davis,51.46%,404,Dirksen-Londrigan,48.54%,381,785,64.32%
Champaign County,Urbana 3,Davis,45.43%,288,Dirksen-Londrigan,54.57%,346,634,59.29%
Champaign County,Urbana 4,Davis,41.79%,313,Dirksen-Londrigan,58.21%,436,749,54.03%
DeWitt County,BARNETT,Davis,75.69%,137,Dirksen Londrigan,24.31%,44,181,60.46%
DeWitt County,CLINTONIA 1,Davis,65.36%,117,Dirksen Londrigan,34.64%,62,179,40.54%
DeWitt County,CLINTONIA 2,Davis,58.65%,78,Dirksen Londrigan,41.35%,55,133,46.44%
DeWitt County,CLINTONIA 3,Davis,62.72%,175,Dirksen Londrigan,37.28%,104,279,59.09%
DeWitt County,CLINTONIA 4,Davis,72.99%,273,Dirksen Londrigan,27.01%,101,374,57.08%
DeWitt County,CLINTONIA 5,Davis,68.93%,417,Dirksen Londrigan,31.07%,188,605,60.50%
DeWitt County,CLINTONIA 6,Davis,61.62%,183,Dirksen Londrigan,38.38%,114,297,59.41%
DeWitt County,CLINTONIA 7,Davis,68.98%,189,Dirksen Londrigan,31.02%,85,274,49.28%
DeWitt County,CLINTONIA 8,Davis,67.20%,125,Dirksen Londrigan,32.80%,61,186,46.59%
DeWitt County,CLINTONIA 9,Davis,59.09%,104,Dirksen Londrigan,40.91%,72,176,38.19%
DeWitt County,CREEK,Davis,81.97%,191,Dirksen Londrigan,18.03%,42,233,63.59%
DeWitt County,DEWITT,Davis,72.36%,144,Dirksen Londrigan,27.64%,55,199,61.59%
DeWitt County,HARP,Davis,71.52%,118,Dirksen Londrigan,28.48%,47,165,63.53%
DeWitt County,NIXON,Davis,71.29%,149,Dirksen Londrigan,28.71%,60,209,61.81%
DeWitt County,RUTLEDGE,Davis,70.13%,54,Dirksen Londrigan,29.87%,23,77,63.93%
DeWitt County,SANTA ANNA 1,Davis,73.28%,266,Dirksen Londrigan,26.72%,97,363,54.65%
DeWitt County,SANTA ANNA 2,Davis,70.60%,305,Dirksen Londrigan,29.40%,127,432,55.73%
DeWitt County,SANTA ANNA 3,Davis,65.69%,90,Dirksen Londrigan,34.31%,47,137,59.23%
DeWitt County,TEXAS,Davis,70.46%,427,Dirksen Londrigan,29.54%,179,606,63.50%
DeWitt County,TUNBRIDGE,Davis,82.99%,283,Dirksen Londrigan,17.01%,58,341,60.64%
DeWitt County,WAPELLA,Davis,72.22%,286,Dirksen Londrigan,27.78%,110,396,57.22%
DeWitt County,WAYNESVILLE,Davis,77.94%,212,Dirksen Londrigan,22.06%,60,272,63.07%
DeWitt County,WILSON,Davis,68.35%,54,Dirksen Londrigan,31.65%,25,79,69.91%
Jersey County,Elsah 1,Davis,53.22%,215,Dirksen-Londrigan,46.78%,189,404,53.63%
Jersey County,Elsah 2,Davis,64.40%,293,Dirksen-Londrigan,35.60%,162,455,58.61%
Jersey County,English,Davis,66.11%,158,Dirksen-Londrigan,33.89%,81,239,64.66%
Jersey County,Fidelity,Davis,72.73%,184,Dirksen-Londrigan,27.27%,69,253,53.72%
Jersey County,Jersey 1,Davis,66.75%,263,Dirksen-Londrigan,33.25%,131,394,57.16%
Jersey County,Jersey 2,Davis,68.98%,298,Dirksen-Londrigan,31.02%,134,432,56.53%
Jersey County,Jersey 3,Davis,70.98%,318,Dirksen-Londrigan,29.02%,130,448,60.42%
Jersey County,Jersey 4,Davis,66.10%,232,Dirksen-Londrigan,33.90%,119,351,60.92%
Jersey County,Jersey 5,Davis,70.13%,371,Dirksen-Londrigan,29.87%,158,529,51.03%
Jersey County,Jersey 6,Davis,61.68%,132,Dirksen-Londrigan,38.32%,82,214,43.76%
Jersey County,Jersey 7,Davis,75.34%,223,Dirksen-Londrigan,24.66%,73,296,54.23%
Jersey County,Jersey 8,Davis,57.65%,98,Dirksen-Londrigan,42.35%,72,170,61.84%
Jersey County,Jersey 9,Davis,63.13%,101,Dirksen-Londrigan,36.88%,59,160,45.15%
Jersey County,Jersey 10,Davis,69.25%,473,Dirksen-Londrigan,30.75%,210,683,59.64%
Jersey County,Mississippi 1,Davis,72.14%,347,Dirksen-Londrigan,27.86%,134,481,53.33%
Jersey County,Mississippi 2,Davis,63.31%,195,Dirksen-Londrigan,36.69%,113,308,59.02%
Jersey County,Otter Creek,Davis,73.66%,302,Dirksen-Londrigan,26.34%,108,410,60.26%
Jersey County,Piasa 1,Davis,71.92%,479,Dirksen-Londrigan,28.08%,187,666,57.29%
Jersey County,Piasa 2,Davis,65.85%,268,Dirksen-Londrigan,34.15%,139,407,56.29%
Jersey County,Piasa 3,Davis,64.04%,146,Dirksen-Londrigan,35.96%,82,228,61.54%
Jersey County,Quarry 1,Davis,67.22%,281,Dirksen-Londrigan,32.78%,137,418,66.00%
Jersey County,Quarry 2,Davis,65.08%,82,Dirksen-Londrigan,34.92%,44,126,66.84%
Jersey County,Richwood,Davis,73.68%,182,Dirksen-Londrigan,26.32%,65,247,58.61%
Jersey County,Rosedale,Davis,66.84%,129,Dirksen-Londrigan,33.16%,64,193,58.70%
Jersey County,Ruyle,Davis,76.96%,147,Dirksen-Londrigan,23.04%,44,191,69.75%
Macon County,DECATUR 1,Davis,22.34%,88,Dirksen Londrigan,77.66%,306,394,36.75%
Macon County,DECATUR 2,Davis,26.45%,91,Dirksen Londrigan,73.55%,253,344,36.17%
Macon County,DECATUR 3,Davis,19.77%,137,Dirksen Londrigan,80.23%,556,693,39.06%
Macon County,DECATUR 4,Davis,37.74%,100,Dirksen Londrigan,62.26%,165,265,30.22%
Macon County,DECATUR 5,Davis,47.13%,255,Dirksen Londrigan,52.87%,286,541,55.66%
Macon County,DECATUR 6,Davis,39.86%,110,Dirksen Londrigan,60.14%,166,276,39.20%
Macon County,DECATUR 7,Davis,37.55%,92,Dirksen Londrigan,62.45%,153,245,32.28%
Macon County,DECATUR 8,Davis,37.99%,310,Dirksen Londrigan,62.01%,506,816,55.21%
Macon County,DECATUR 9,Davis,28.75%,113,Dirksen Londrigan,71.25%,280,393,49.25%
Macon County,DECATUR 10,Davis,35.96%,196,Dirksen Londrigan,64.04%,349,545,41.32%
Macon County,DECATUR 11,Davis,48.11%,242,Dirksen Londrigan,51.89%,261,503,66.01%
Macon County,DECATUR 12,Davis,63.80%,379,Dirksen Londrigan,36.20%,215,594,55.26%
Macon County,DECATUR 13,Davis,60.60%,263,Dirksen Londrigan,39.40%,171,434,55.43%
Macon County,DECATUR 14,Davis,46.98%,132,Dirksen Londrigan,53.02%,149,281,41.82%
Macon County,DECATUR 15,Davis,13.38%,42,Dirksen Londrigan,86.62%,272,314,28.99%
Macon County,DECATUR 16,Davis,54.76%,213,Dirksen Londrigan,45.24%,176,389,53.51%
Macon County,DECATUR 17,Davis,10.06%,47,Dirksen Londrigan,89.94%,420,467,30.36%
Macon County,DECATUR 18,Davis,26.64%,69,Dirksen Londrigan,73.36%,190,259,33.72%
Macon County,DECATUR 19,Davis,50.00%,204,Dirksen Londrigan,50.00%,204,408,55.36%
Macon County,DECATUR 20,Davis,26.79%,157,Dirksen Londrigan,73.21%,429,586,35.93%
Macon County,DECATUR 21,Davis,64.12%,554,Dirksen Londrigan,35.88%,310,864,58.03%
Macon County,DECATUR 22,Davis,28.66%,90,Dirksen Londrigan,71.34%,224,314,32.47%
Macon County,DECATUR 23,Davis,39.39%,182,Dirksen Londrigan,60.61%,280,462,41.43%
Macon County,DECATUR 24,Davis,39.45%,86,Dirksen Londrigan,60.55%,132,218,34.28%
Macon County,DECATUR 25,Davis,44.95%,98,Dirksen Londrigan,55.05%,120,218,37.85%
Macon County,DECATUR 26,Davis,54.63%,112,Dirksen Londrigan,45.37%,93,205,34.51%
Macon County,DECATUR 27,Davis,50.92%,139,Dirksen Londrigan,49.08%,134,273,36.89%
Macon County,DECATUR 28,Davis,58.84%,346,Dirksen Londrigan,41.16%,242,588,44.75%
Macon County,DECATUR 29,Davis,47.61%,239,Dirksen Londrigan,52.39%,263,502,54.09%
Macon County,DECATUR 30,Davis,49.41%,211,Dirksen Londrigan,50.59%,216,427,53.78%
Macon County,DECATUR 31,Davis,52.94%,225,Dirksen Londrigan,47.06%,200,425,53.53%
Macon County,DECATUR 32,Davis,63.88%,389,Dirksen Londrigan,36.12%,220,609,53.51%
Macon County,DECATUR 33,Davis,55.18%,229,Dirksen Londrigan,44.82%,186,415,54.53%
Macon County,DECATUR 34,Davis,64.51%,289,Dirksen Londrigan,35.49%,159,448,62.75%
Macon County,AUSTIN,Davis,83.19%,99,Dirksen Londrigan,16.81%,20,119,62.30%
Macon County,BLUE MOUND,Davis,76.20%,317,Dirksen Londrigan,23.80%,99,416,65.51%
Macon County,FRIENDS CREEK,Davis,68.51%,409,Dirksen Londrigan,31.49%,188,597,58.24%
Macon County,HARRISTOWN 1,Davis,67.50%,540,Dirksen Londrigan,32.50%,260,800,58.39%
Macon County,HICKORY PT. 1,Davis,71.75%,1016,Dirksen Londrigan,28.25%,400,1416,63.07%
Macon County,HICKORY PT. 2,Davis,68.14%,571,Dirksen Londrigan,31.86%,267,838,64.21%
Macon County,HICKORY PT. 3,Davis,60.94%,337,Dirksen Londrigan,39.06%,216,553,62.84%
Macon County,HICKORY PT. 4,Davis,54.62%,355,Dirksen Londrigan,45.38%,295,650,55.99%
Macon County,HICKORY PT. 5,Davis,50.60%,251,Dirksen Londrigan,49.40%,245,496,40.29%
Macon County,HICKORY PT. 6,Davis,34.08%,91,Dirksen Londrigan,65.92%,176,267,30.34%
Macon County,HICKORY PT. 7,Davis,62.75%,406,Dirksen Londrigan,37.25%,241,647,64.57%
Macon County,HICKORY PT. 8,Davis,68.35%,473,Dirksen Londrigan,31.65%,219,692,60.49%
Macon County,HICKORY PT. 9,Davis,52.95%,251,Dirksen Londrigan,47.05%,223,474,57.88%
Macon County,HICKORY PT. 10,Davis,38.10%,128,Dirksen Londrigan,61.90%,208,336,49.56%
Macon County,HICKORY PT. 11,Davis,63.37%,256,Dirksen Londrigan,36.63%,148,404,55.19%
Macon County,HICKORY PT. 12,Davis,68.45%,371,Dirksen Londrigan,31.55%,171,542,61.04%
Macon County,ILLINI,Davis,75.36%,419,Dirksen Londrigan,24.64%,137,556,57.74%
Macon County,LONG CREEK 1,Davis,66.84%,379,Dirksen Londrigan,33.16%,188,567,61.50%
Macon County,LONG CREEK 2,Davis,73.98%,836,Dirksen Londrigan,26.02%,294,1130,62.43%
Macon County,LONG CREEK 3,Davis,68.97%,429,Dirksen Londrigan,31.03%,193,622,62.76%
Macon County,LONG CREEK 4,Davis,52.94%,225,Dirksen Londrigan,47.06%,200,425,54.07%
Macon County,LONG CREEK 5,Davis,65.70%,249,Dirksen Londrigan,34.30%,130,379,61.13%
Macon County,LONG CREEK 6,Davis,73.11%,658,Dirksen Londrigan,26.89%,242,900,59.09%
Macon County,LONG CREEK 7,Davis,62.90%,373,Dirksen Londrigan,37.10%,220,593,59.36%
Macon County,LONG CREEK 8,Davis,64.52%,320,Dirksen Londrigan,35.48%,176,496,55.67%
Macon County,MAROA,Davis,68.80%,516,Dirksen Londrigan,31.20%,234,750,54.62%
Macon County,MT. ZION 1,Davis,70.51%,911,Dirksen Londrigan,29.49%,381,1292,59.95%
Macon County,MT. ZION 2,Davis,71.33%,1010,Dirksen Londrigan,28.67%,406,1416,55.40%
Macon County,MT. ZION 3,Davis,79.68%,345,Dirksen Londrigan,20.32%,88,433,65.11%
Macon County,NIANTIC,Davis,67.47%,195,Dirksen Londrigan,32.53%,94,289,55.79%
Macon County,OAKLEY,Davis,75.83%,389,Dirksen Londrigan,24.17%,124,513,58.90%
Macon County,PLEASANT VIEW,Davis,76.43%,373,Dirksen Londrigan,23.57%,115,488,53.69%
Macon County,SOUTH MACON,Davis,78.59%,492,Dirksen Londrigan,21.41%,134,626,58.56%
Macon County,SOUTH WHEATLAND 1,Davis,74.97%,551,Dirksen Londrigan,25.03%,184,735,65.68%
Macon County,SOUTH WHEATLAND 2,Davis,70.22%,554,Dirksen Londrigan,29.78%,235,789,46.88%
Macon County,SOUTH WHEATLAND 3,Davis,71.83%,362,Dirksen Londrigan,28.17%,142,504,66.40%
Macon County,WHITMORE 1,Davis,72.47%,674,Dirksen Londrigan,27.53%,256,930,63.70%
Macon County,WHITMORE 2,Davis,48.61%,385,Dirksen Londrigan,51.39%,407,792,47.28%
Macoupin County,Barr,Davis,84.93%,124,Dirksen-Londrigan,15.07%,22,146,66.08%
Macoupin County,Bird,Davis,72.56%,119,Dirksen-Londrigan,27.44%,45,164,73.04%
Macoupin County,Brighton 1,Davis,64.30%,272,Dirksen-Londrigan,35.70%,151,423,57.70%
Macoupin County,Brighton 2,Davis,73.11%,242,Dirksen-Londrigan,26.89%,89,331,55.56%
Macoupin County,Brighton 3,Davis,68.28%,551,Dirksen-Londrigan,31.72%,256,807,54.27%
Macoupin County,Brushy Mound,Davis,68.63%,245,Dirksen-Londrigan,31.37%,112,357,64.77%
Macoupin County,Bunker Hill 1,Davis,64.59%,270,Dirksen-Londrigan,35.41%,148,418,56.41%
Macoupin County,Bunker Hill 2,Davis,63.32%,183,Dirksen-Londrigan,36.68%,106,289,56.70%
Macoupin County,Bunker Hill 3,Davis,61.00%,355,Dirksen-Londrigan,39.00%,227,582,57.21%
Macoupin County,Cahokia 1,Davis,68.42%,78,Dirksen-Londrigan,31.58%,36,114,59.79%
Macoupin County,Cahokia 2,Davis,46.76%,159,Dirksen-Londrigan,53.24%,181,340,51.77%
Macoupin County,Cahokia 3,Davis,55.03%,164,Dirksen-Londrigan,44.97%,134,298,47.66%
Macoupin County,Cahokia 4,Davis,57.97%,80,Dirksen-Londrigan,42.03%,58,138,55.56%
Macoupin County,Cahokia 5,Davis,47.79%,108,Dirksen-Londrigan,52.21%,118,226,50.54%
Macoupin County,Carlinville 1,Davis,55.84%,344,Dirksen-Londrigan,44.16%,272,616,61.37%
Macoupin County,Carlinville 2,Davis,60.00%,264,Dirksen-Londrigan,40.00%,176,440,61.49%
Macoupin County,Carlinville 3,Davis,61.51%,350,Dirksen-Londrigan,38.49%,219,569,58.83%
Macoupin County,Carlinville 4,Davis,48.57%,34,Dirksen-Londrigan,51.43%,36,70,42.39%
Macoupin County,Carlinville 5,Davis,59.29%,201,Dirksen-Londrigan,40.71%,138,339,53.81%
Macoupin County,Carlinville 6,Davis,60.86%,213,Dirksen-Londrigan,39.14%,137,350,51.33%
Macoupin County,Chesterfield,Davis,68.47%,202,Dirksen-Londrigan,31.53%,93,295,58.96%
Macoupin County,Dorchester 1,Davis,63.75%,204,Dirksen-Londrigan,36.25%,116,320,64.69%
Macoupin County,Dorchester 2,Davis,54.09%,172,Dirksen-Londrigan,45.91%,146,318,58.16%
Macoupin County,Gillespie 1,Davis,48.04%,135,Dirksen-Londrigan,51.96%,146,281,55.45%
Macoupin County,Gillespie 2,Davis,48.45%,94,Dirksen-Londrigan,51.55%,100,194,55.40%
Macoupin County,Gillespie 3,Davis,42.98%,52,Dirksen-Londrigan,57.02%,69,121,56.05%
Macoupin County,Gillespie 4,Davis,61.70%,87,Dirksen-Londrigan,38.30%,54,141,58.80%
Macoupin County,Gillespie 5,Davis,49.48%,237,Dirksen-Londrigan,50.52%,242,479,62.34%
Macoupin County,Gillespie 6,Davis,45.64%,110,Dirksen-Londrigan,54.36%,131,241,49.22%
Macoupin County,Girard 1,Davis,65.99%,163,Dirksen-Londrigan,34.01%,84,247,51.32%
Macoupin County,Girard 2,Davis,57.76%,309,Dirksen-Londrigan,42.24%,226,535,56.24%
Macoupin County,Hillyard,Davis,56.18%,141,Dirksen-Londrigan,43.82%,110,251,53.59%
